name,price
"""Nike sports shoes ready stock""",55.0
"""*Genuine Stock* Storage box colourful Thicken pp plastic shoe shoes storage box man woman 1 box""",1.98
"""BUM Equipment Unisex Canvas Shoes B39179/B39180/B39181""",19.0
"""100% Ori Nike Shoes Nike Berlari Kasut Kasut Lelaki Kasut Wanita Nike Kasut Sukan Kasut Men Women Nike Running Shoes""",31.0
"""Women white shoes low tops restoring ancient ways joker white shoe female students leisure spring summer period""",32.22
"""Plus Size 36-45 Men\u0026Women Breathable Sport Shoes Comfortable Running Shoes Sneakers""",33.61
"""BUM Equipment Unisex Canvas Shoes B39179/B39180/B39181""",19.0
"""READY STOCK Dr.Martens Martin Shoes Leather Tooling Shoes - TOSHI""",59.05
"""Kasut Perempuan Nike Air Low OG AJ1 Sneaker Men Women Patent Leather Running Shoes Basketball Shoe Flat casual""",39.99
"""Mickey Mouse Canvas Shoes Women Ins Tide 2021 Spring New Casual Sneakers a Hundred Mickey Small White Shoes""",39.59
"""Unisex shoes ã€Ready Stockã€‘ Kasut lelaki Kasut wanita Airmax Couple Sports Running Trainers Shoes Men Women Size 36-47 Air Max 270 Kasut sukan ç”·é‹ å¥³é‹ è¿åŠ¨é‹ è·‘æ­¥é‹""",47.17
"""â¤ladies shoeâ¤Han edition 2019 boom port sail cloth shoes female students harajuku ulzzang retro joker flat small white""",35.0
"""CONVERSE PREMIUM GRADE 1970s ALL STAR CHUCK TAYLOR Canvas Shoes#""",27.0
"""2021 New Thick-soled Flying Woven Light Net Shoes Korean Version of Trend Sports Shoes Running Men's Shoes""",39.99
"""ğŸ‡²ğŸ‡¾ READY STOCK VANS ORIGINAL Old Skool Women Shoes Canvas Black White Checkerboard Sneakers Kasut Perempuan Wanita""",29.99
"""Vans TNT Old Skool Checkerboard 50th Anniversary Limited Edition Vans Shoes""",49.99
"""ğŸŒŸSHOOZ BY EDIZAğŸ”¥Women Casual High Heels Thick Women Shoes (CK2-BLA, CK2-COF, CK2-KHA \u0026 CK2-MIL)""",32.9
"""MIKAZE - YOONA Korean Sport Shoes Sneaker (Small Cutting) (5506/788)""",19.95
"""Ready Stock 24H Send women Nike Air Force 1 Running Shoes Kasut Perempuan Outdoor Sport Sneakers""",33.5
"""Heelless lazy increased within half new slippers female 2020 baotou small white canvas shoes joker thick soles summer""",32.4
"""plimsollsâ–£â–²Summer canvas shoes women's half dragged heelless lazy a pedal han edition joker""",42.0
"""ğŸ”¥ Shocking Sale kasut ğŸ”¥Men Shoes MS02 Men Sport Shoes Breathable Sneakers Running Shoes ç”·é‹ é‹å­""",29.9
"""READY STOCK Eees Hot Sale Original ï¼°ï¼µï¼­ï¼¡ Smash Vulc Leather Low Men Shoes Women Sneakers Korean Casual White Gold Shoes""",85.0
"""ğŸ‡²ğŸ‡¾ READY STOCK Women White Sneaker Shoes Men Air Force 1 Af1 Nurse Kasut Perempuan Putih Jururawat Wanita Lelaki å°ç™½é‹""",22.68
"""K14 READY STOCK MYFOOYIN Jelly Hillary H Sandal Shoe Kasut Slipper Flat Perempuan Wanita woman shoes""",8.5
"""MIKAZE - CAPTAIN ENGLAND Casual Sneaker Shoes (8608)""",21.99
"""ALU Women's Flat Comfortable Moccasin Suede Slip-On Ballet Shoes""",32.7
"""New heelless student canvas shoes lace-up sneakers half drag shoes womenâ€™s shoes  flat bottom lazy shoes Loafers \u0026 Slip-Ons breathable""",23.18
"""ğŸ’¥[SC2U] ğŸ’¥SHIP FAST*KL STOCK Casual Women Runing Sport Shoes Shoe Lace Up Breathable Mesh Sneaker""",10.99
"""Children's shoesCute Kids White Shoes Children's Casual Canvas Shoes Shoes Sports Shoes Very Soft Bottom Non-slip Lightweight""",38.5
"""ã€24H send/Ready stockã€‘French retro horse clasp high heeled sandal single shoes women's new white square head thick heeled  sandals women""",39.9
"""Popular Borong Murah Air Max 270 Couple Sports Shoes Ready Stock  Unisex Running Shoes Fashion Trend Kasut Perempuan Korean Style Outdoor Casual Kasut Sukan Lelaki Slip On Light Women Badminton Shoes Fitness Airmax Men Sneakers Plus Size 45 46 47""",36.0
"""âœ¨ Ready Stock âœ¨ MICOLE S011 Fashion Women Flyknit Sport Shoes Breathable Sneakers Running Shoes Wanita Kasut Berlari ğŸ""",12.5
"""MIKAZE -LASER SNEAKERS SPORT SHOES""",19.9
"""ã€READY STOCK ã€‘NIKE AIR MAX  Kasut Lelaki Kasut Wanita Kasut Nike Sport Shoe  Sneaker Women Shoes Running Shoes Kasut Sukan Lelaki Kasut Sukan Wanita Sport Kasut ç”·é‹ å¥³é‹  è¿åŠ¨é‹ è·‘é‹ ä¼‘é—²é‹ æƒ…ä¾£é‹""",51.6
"""ğŸ’¥[SC2U] ğŸ’¥SHIP FASTğŸ’¥ UNISEX Four Garisi Men's Sneakers Shoes Kasut WOMEN MEN MAN SHOES RUNNING SPORT BREATHABLE CASUAL""",12.0
"""ã€ŒReady stockã€Fashionable men's and women's sandals and slippers, couple shoes, Vietnamese Hong Kong style slippers, slippers, couple sandals and slippers, leisure and vacation all-match comfortable sports slippers, indoor soft sole silent light slippers,""",20.52
"""FISH casual shoes Sneakers (B-6)""",14.77
"""BUM Equipment Unisex Canvas Shoes B39187/B39188/B39189""",38.0
"""Women's Shoes One Pedal Lazy Single Flat Canvas Versatile Casual LoafersåŒ—äº¬è€å¸ƒé‹éŸ©ç‰ˆä¸€è„šè¹¬æ‡’äººå¹³åº•å¸†å¸ƒç™¾æ­ä¼‘é—²é‹""",21.19
"""Nike Viale Unisex Shoes Run6 Generation Men\u0026women Flying Woven Mesh Face Sports Fitness Running Shoes Fashion Sports Running""",29.5
"""Children slippers Summer girls indoor children non-slip beach shoes soft soles baby children shoes cute shark sandals and slippers""",15.88
"""ALX Anti-Slip Outdoor Water Sport Shoe Swim Athletic Swimming Quick-Dry Barefoot Aqua Sport Shoes Pantai Selancar Kasut""",24.8
"""SHIP IN 24HRSğŸ”¥ Kaws Couple Slippers Men Women YEEZY SLIDE Beach Sandals Shoes Kanye Summer Casual Spongebob""",4.29
"""ã€ŠKorean high and low heel women's shoesã€‹Kasut Tunggal Liar Baru Baotou Selipar Tumit Kasar2021Kancing Bentuk 1 Pengapit Pengantin Perempuan Kasut Tumit Tinggi dengan Air Pasang""",18.4
"""Shock Sale Extremely Soft Casual Sport Shoes 2020 Factory Price  Sneaker Summer Breathable Running Foot Wear""",19.9
"""Felet Badminton shoes BS951 BS952 BS953 BS954 BS56 Pro ( Yonex, Asics, Apacs)""",89.7
"""Korean Wemon's Flat-soled Lazy Loafers Grandmother's Shoes Plus Size 35-42""",20.01
"""ğŸ’¥[SC2U] ğŸ’¥SHIP FAST*KL STOCKğŸ’¥Women's Mesh Breathable Sport Running Casual Shoes Putars Wanita Kasut berlari""",10.88
"""MIKAZE - FISH CASUAL SHOES Sneakers (B-6)""",15.99
